,Total,Hora
0,749.49,19:21
1,235.2105,15:36
2,234.0975,15:10
3,93.114,11:26
4,759.675,15:55
5,166.635,16:40
6,827.085,10:04
7,19.2465,18:50
8,44.5935,16:57
9,367.038,16:44
10,391.419,20:19
11,169.3125,13:26
12,580.419,20:34
13,216.846,15:39
14,66.8745,16:21
15,323.064,16:31
16,298.116,16:55
17,90.825,15:56
18,263.13,11:25
19,399.756,14:47
20,99.75,11:22
21,494.76,11:23
22,233.52,11:00
23,25.263,15:51
24,16.107,11:09
25,200.214,14:21
26,697.368,14:38
27,65.604,20:29
28,76.356,10:00
29,252.042,15:54
30,295.6905,13:22
31,745.836,17:09
32,172.011,17:43
33,146.9475,13:12
34,324.2925,13:21
35,523.845,19:09
36,152.712,13:07
37,404.355,15:59
38,140.6475,15:04
39,75.5475,12:14
40,191.247,17:38
41,379.9215,18:22
42,461.286,17:44
43,276.948,10:29
44,110.0925,13:21
45,185.367,10:23
46,390.7995,18:01
47,140.385,10:43
48,87.234,13:47
49,168.21,11:40
50,338.31,17:04
51,432.768,15:47
52,731.6925,12:07
53,926.9505,19:41
54,416.178,10:28
55,142.002,18:51
56,621.243,13:55
57,269.934,13:54
58,326.256,19:54
59,164.871,14:03
60,76.755,12:23
61,47.859,14:13
62,96.1905,19:44
63,764.19,17:24
64,146.6325,15:48
65,308.574,18:30
66,667.38,17:59
67,211.365,10:36
68,510.615,12:44
69,458.6925,19:45
70,507.906,20:18
71,887.922,11:32
72,608.076,11:52
73,72.009,17:24
74,257.145,15:15
75,462.672,11:27
76,325.374,16:36
77,210.966,17:12
78,99.9075,14:00
79,408.408,10:57
80,216.4365,10:05
81,88.704,17:43
82,54.999,19:44
83,163.611,15:21
84,22.386,12:43
85,624.33,13:11
86,77.805,11:05
87,118.902,18:35
88,450.1035,12:35
89,250.7085,14:30
90,561.078,17:26
91,175.014,13:37
92,335.013,10:03
93,84.7455,17:35
94,782.208,10:09
95,313.74,18:45
96,397.614,12:04
97,469.77,10:18
98,290.0835,16:27
99,74.088,20:14
100,312.8895,11:51
101,932.337,15:07
102,43.869,18:45
103,49.77,18:02
104,252.252,15:29
105,313.572,10:39
106,244.23,17:44
107,33.432,13:22
108,69.111,15:33
109,649.299,13:28
